y,ds
24.58823529,17-02-2020 09:00
24.91176471,17-02-2020 10:00
24.58823529,17-02-2020 11:00
23.61764706,17-02-2020 12:00
23.29411765,17-02-2020 13:00
23.29411765,17-02-2020 14:00
23.29411765,17-02-2020 15:00
23.94117647,17-02-2020 16:00
24.26470588,17-02-2020 17:00
28.14705882,17-02-2020 22:00
28.79411765,17-02-2020 23:00
29.11764706,17-02-2020 00:00
30.08823529,17-02-2020 00:00
30.41176471,17-02-2020 02:00
30.08823529,17-02-2020 03:00
29.44117647,17-02-2020 04:00
23.94117647,17-02-2020 05:00
25.23529412,17-02-2020 06:00
25.23529412,17-02-2020 07:00
25.23529412,17-02-2020 08:00
25.55882353,17-02-2020 09:00
23.61764706,17-02-2020 11:00
23.61764706,17-02-2020 12:00
23.94117647,17-02-2020 13:00
24.26470588,17-02-2020 14:00
24.58823529,17-02-2020 15:00
24.91176471,17-02-2020 16:00
24.91176471,17-02-2020 17:00
24.91176471,17-02-2020 18:00
26.20588235,17-02-2020 20:00
26.52941176,17-02-2020 21:00
27.82352941,17-02-2020 00:00
28.14705882,17-02-2020 00:00
28.14705882,17-02-2020 02:00
28.47058824,17-02-2020 03:00
28.47058824,17-02-2020 04:00
29.11764706,17-02-2020 05:00
29.11764706,17-02-2020 06:00
26.85294118,17-02-2020 10:00
25.88235294,17-02-2020 13:00
25.88235294,17-02-2020 14:00
25.88235294,17-02-2020 15:00
25.88235294,17-02-2020 16:00
25.55882353,17-02-2020 17:00
26.20588235,17-02-2020 19:00
26.52941176,17-02-2020 20:00
26.85294118,17-02-2020 21:00
26.85294118,17-02-2020 22:00
27.17647059,17-02-2020 23:00
25.23529412,17-02-2020 02:00
25.23529412,17-02-2020 03:00
25.23529412,17-02-2020 06:00
25.55882353,17-02-2020 07:00
25.88235294,17-02-2020 08:00
28.14705882,17-02-2020 09:00
29.76470588,17-02-2020 10:00
29.44117647,17-02-2020 11:00
29.44117647,17-02-2020 12:00
28.47058824,17-02-2020 16:00
30.73529412,17-02-2020 19:00
31.05882353,17-02-2020 20:00
31.38235294,17-02-2020 21:00
31.70588235,17-02-2020 22:00
